Strong Female Lead: viscerally powerful film lets the Gillard years speak for themselves,New documentary in the style of 2019’s The Final Quarter examines the sexism faced by Australia’s first female prime minister,Luke Buckmaster,"Mon, 13 Sep 2021 23:59:48 GMT"
Disasters within disasters: it’s time to address entrenched Aboriginal inequality | Bhiamie Williamson,"From bushfires to coronavirus, with Aboriginal people left out of crisis planning, communities have been unprepared for emergencies and are suffering as a result",Bhiamie Williamson,"Tue, 14 Sep 2021 01:13:08 GMT"
Give Lorde a break. Non-Māori must speak Māori for it to survive | Morgan Godfery,"If we must wait for the perfect circumstances to speak or sing te reo, we may as well sign the language’s death certificate",Morgan Godfery,"Tue, 14 Sep 2021 00:18:41 GMT"
It took my son’s meltdown and a lightbulb moment for me to stop parenting on autopilot | Conal Hanna,"I always dealt with my son’s resistance to swimming class with cuddles, reassurance and rewards. Then one day I tried something radical: listening to him and empathising",Conal Hanna,"Mon, 13 Sep 2021 17:30:40 GMT"
We don’t live in isolation. Our ancestors’ trauma can affect our health generations later | Himali McInnes,"Our wellbeing is inextricably linked to our childhoods, which in turn is influenced by the lives of our parents and grandparents",Himali McInnes,"Mon, 13 Sep 2021 20:00:42 GMT"
"Melania Trump like Marie Antoinette, says former aide in hotly awaited book",Stephanie Grisham says former first lady refused to condemn Capitol attackers and believed husband’s lie about election fraud,Martin Pengelly in New York,"Mon, 13 Sep 2021 13:18:41 GMT"
Australia to boost Indigenous Covid vaccinations as bungled Victorian figures corrected,The push will prioritise 30 regions across the country and tackle hesitancy and misinformation with a media campaign,Sarah Martin Chief political correspondent,"Mon, 13 Sep 2021 21:46:18 GMT"
Voices from Australia’s Covid frontline: the construction worker and the delivery driver,"Elmedin and Nass are grateful not to be stuck at home like so many others, but they can’t wait to get back to some normality",Mostafa Rachwani,"Mon, 13 Sep 2021 17:30:39 GMT"
"NSW unvaccinated could be denied freedoms at 80% target, premier says, as 1,257 Covid cases recorded",Gladys Berejiklian fronts press conference to announce seven further deaths despite saying daily event would be abandoned,Elias Visontay,"Mon, 13 Sep 2021 09:27:38 GMT"
Residents of Sydney’s Covid hotspots call out ‘double standard’ of recreation rules,Canterbury-Bankstown mayor doesn’t ‘begrudge’ people in east going to the beach but 5km rule means most waterfronts are out of bounds for his residents,Elias Visontay,"Mon, 13 Sep 2021 09:20:00 GMT"
Novak Djokovic lost his bid for history but may have finally won the hearts of fans | Jonathan Liew,Djokovic missed out on the calendar slam at the final hurdle but declared himself ‘the happiest man alive’ after his defeat,Jonathan Liew,"Mon, 13 Sep 2021 17:00:38 GMT"
Australia’s Tim Paine faces Ashes fitness race after neck surgery,;,PA Media,"Mon, 13 Sep 2021 10:18:29 GMT"
