"‘I enjoy how sexy she is, as long as she’s in control’: Black Widow’s Cate Shortland on Scarlett Johansson","Marvel’s long-awaited spin-off is the first to be solo-directed by a woman. She discusses male domination of crews, the film’s feminism – and going from indie films to a blockbuster",Cath Clarke,"Fri, 02 Jul 2021 05:00:28 GMT"
Rock sideman Earl Slick: ‘Bowie had gone levels into insanity’,"He played through extreme drug-taking on Bowie’s Station to Station, and with Yoko Ono weeks after Lennon’s death. The guitarist explains why he’s great at backing legends – and terrible at selling timeshares",Alexis Petridis,"Fri, 02 Jul 2021 07:30:31 GMT"
"An awkward, lifeless shrine – the Diana statue is a spiritless hunk of nonsense | Jonathan Jones",The only provocative thing about Ian Rank-Broadley’s characterless sculpture is how shamelessly it plays up to mawkish Diana worship,Jonathan Jones,"Thu, 01 Jul 2021 16:34:32 GMT"
"Tempers are frayed, we’ve become a nation divided over Fortress Australia and the Covid-19 response | Tim Soutphommasane","For a while Australia seemed to be on top of Covid-19, but we have lost our way – and an ideology is to blame",Tim Soutphommasane,"Thu, 01 Jul 2021 23:50:53 GMT"
The Newcomer by Laura Elizabeth Woollett review – murder in a Pacific island paradise,New novel from the author of Beautiful Revolutionary takes aim at far more than the ‘dead girl’ crime genre trope,Bec Kavanagh,"Fri, 02 Jul 2021 00:28:37 GMT"
‘It feels good’: Kashmir folk singer’s rise from dusty street to music star,Noor Mohammad Shah has given traditional Sufi music a new lease of life after a chance encounter,Azhar Qadri in Srinagar and Hannah Ellis-Petersen  in Delhi,"Fri, 02 Jul 2021 04:00:26 GMT"
‘I usually end up calling an ambulance’: why migraine pain is not just a bad headache,"The neurological disease affects up to 20% of people, but research funding is sorely lacking. Women are more than three times likely to suffer from it than men",Melissa Davey,"Thu, 01 Jul 2021 05:00:06 GMT"
Fibromyalgia flattens me. Here’s what helps me cope with constant pain | Nikki Marshall,A flare-up starts with instant exhaustion and a brain fog so dense I might struggle to speak,Nikki Marshall,"Wed, 30 Jun 2021 05:00:31 GMT"
‘I felt betrayed’: how Covid research could help patients living with chronic fatigue syndrome,People with ME/CFS face debilitating symptoms but often feel dismissed by doctors. The focus on long Covid could help change that,Christina Frangou,"Wed, 30 Jun 2021 05:00:31 GMT"
Sufferers of chronic pain have long been told it’s all in their head. We now know that’s wrong,"In the first of a series looking at chronic pain and long Covid, Linda Geddes explores the growing realisation that pain can be a disease in and of itself – and the pandemic could be making it worse",Linda Geddes,"Mon, 28 Jun 2021 05:00:44 GMT"
Coronavirus live news: South Korea confirms highest cases in six months; third day of record deaths in Thailand,Experts believe India’s reported deaths and infections ,Martin Belam (now) and Helen Sullivan (earlier),"Fri, 02 Jul 2021 07:37:59 GMT"
Queensland Covid update: three new cases and Brisbane lockdown extended,Queensland deputy premier says the state’s hotel quarantine system ‘hit capacity’ overnight,Ben Smee,"Thu, 01 Jul 2021 23:36:23 GMT"
"Covid Australia vaccine rollout tracker: total number of people and percent vaccinated, daily vaccine doses and rate of progress","How does Australia’s coronavirus vaccine rollout and schedule compare with other countries, when will Australia be fully vaccinated and when will you be eligible to get your dose? We bring together the latest numbers on daily new Covid-19 cases, as well as stats and live data on total vaccination figures in Victoria, NSW, Queensland and other states.",Josh Nicholas and Nick Evershed,"Fri, 02 Jul 2021 07:01:37 GMT"
‘We are a petri dish’: world watches UK’s race between vaccine and virus,Analysis: UK stands alone in pitting advanced vaccination programme against fast-spreading Delta variant,Ian Sample Science editor,"Fri, 02 Jul 2021 06:00:29 GMT"
‘They know it’s a bit of a show’: smiling Nick Kyrgios serves up masterclass,;,Australian Associated Press,"Thu, 01 Jul 2021 23:42:01 GMT"
Euro 2020: quarter-finals kick off with Switzerland v Spain and Belgium v Italy – live!,;,Niall McVeigh,"Fri, 02 Jul 2021 07:47:22 GMT"
Tour de France: Mark Cavendish proves the comeback king of Châteauroux,;,Jeremy Whittle in Châteauroux,"Thu, 01 Jul 2021 15:53:38 GMT"
Sha’Carri Richardson reportedly out of Olympic 100m after positive cannabis test,;,Guardian sport and agencies,"Fri, 02 Jul 2021 03:01:30 GMT"
Newcastle firming as host for relocated State of Origin Game Three,;,Australian Associated Press,"Fri, 02 Jul 2021 05:22:16 GMT"
‘Three foot’ Ashleigh Barty battles through with Coco Gauff on horizon,;,Greg Wood,"Thu, 01 Jul 2021 18:16:27 GMT"
"Socceroos drawn with Japan, Saudi Arabia in World Cup qualifiers",;,Australian Associated Press,"Thu, 01 Jul 2021 08:45:44 GMT"
Australia coach Justin Langer has players’ backing after addressing concerns over his style,;,Reuters,"Thu, 01 Jul 2021 05:59:08 GMT"
"A truck almost killed my family. I’m still not a good person, but I’m better at what matters | Bridie Jabour",,Bridie Jabour,"Thu, 01 Jul 2021 17:30:15 GMT"
"Rumsfeld’s much-vaunted ‘courage’ was a smokescreen for lies, crime and death | Richard Wolffe",We are still living with the catastrophic consequences of Rumsfeld and his gang. And it’s not as if this chain of events was unimaginable at the time,Richard Wolffe,"Thu, 01 Jul 2021 16:30:12 GMT"
Vaccine rollout 2.0: Australia needs to do three things differently | Stephen Duckett and Anika Stobart for The Conversation,"Australia’s Covid vaccine rollout 1.0 was a shemozzle, but there is much we can learn from the mistakes",Stephen Duckett and Anika Stobart for the Conversation,"Thu, 01 Jul 2021 02:12:52 GMT"
Belief in conspiracy theories is a symptom of powerlessness | Edward Snowden,"People need to explain to themselves their immiseration, their disenfranchisement, their lack of power. Conspiracies do that",Edward Snowden,"Thu, 01 Jul 2021 10:23:05 GMT"
